Account,date,net_pnl,gross_pnl,fees,volume_usd,n_fills,n_realized,n_liq,buy_frac,classification,value,class5,sentiment,won_day
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-24,79.962327,80.95313,0.990803,4664.160000000001,26,23,0,0.8846153846153846,Neutral,45,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-25,505.773234,520.971268,15.198034,75813.27,29,27,0,0.5172413793103449,Neutral,46,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-26,86.442025,96.945218,10.503193,109409.06,79,27,0,0.35443037974683544,Neutral,47,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-29,124.001143,133.123947,9.122804,42161.72,83,81,0,0.024096385542168676,Fear,26,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-03-31,1234.485868,1239.24045,4.754582,49526.1,52,51,0,0.019230769230769232,Fear,34,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-02,87.895468,90.98474,3.0892720000000002,32179.99,11,9,0,0.8181818181818182,Fear,44,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-06,3348.879873,3370.85855,21.978677,154160.34,39,36,0,0.07692307692307693,Fear,34,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-07,939.735576,948.85929,9.123714,48011.8,43,42,0,0.023255813953488372,Extreme Fear,23,Extreme Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-09,1581.369079,1593.7933500000001,12.424271,58405.28,15,6,0,0.4,Extreme Fear,18,Extreme Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-12,1432.356027,1442.90516,10.549133,61443.590000000004,44,42,0,0.045454545454545456,Fear,43,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-13,97.874836,98.7298,0.854964,3903.33,3,2,0,0.3333333333333333,Neutral,45,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-14,1707.656124,1729.63986,21.983736,121095.2,37,31,0,0.7027027027027027,Fear,31,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-15,1202.997852,1208.695445,5.697593,58792.0,36,35,0,0.9722222222222222,Fear,38,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-16,1657.015312,1674.357543,17.342231,93770.65999999999,35,33,0,0.7714285714285715,Fear,29,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-18,1992.8143,2003.6176600000001,10.80336,82760.26,53,31,0,0.5849056603773585,Fear,33,Fear,Fear,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-19,-129.591516,-128.548009,1.043507,4902.49,8,6,0,0.25,Fear,32,Fear,Fear,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-20,-124.748918,-111.77234,12.976578,60112.75,52,50,0,0.9615384615384616,Fear,37,Fear,Fear,False
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-22,2912.116747,2933.203058,21.086311000000002,117072.94,327,325,0,0.9938837920489296,Neutral,47,Neutral,Neutral,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-23,6382.114587,6439.07977,56.965183,368639.17,154,146,0,0.6298701298701299,Greed,72,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-24,1240.601505,1250.2581989999999,9.656694,72627.81,29,21,0,0.5862068965517241,Greed,63,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-25,1097.49987,1113.013801,15.513931,76976.78,99,82,0,0.16161616161616163,Greed,60,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-26,3273.626085,3291.144446,17.518361,158243.33,113,110,0,0.9734513274336283,Greed,65,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-27,362.271841,376.374029,14.102188,127478.82,93,86,0,0.07526881720430108,Greed,61,Greed,Greed,True
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-28,821.205776,824.305737,3.099961,27722.0,23,22,0,0.043478260869565216,Neutral,54,Neutral,Neutral,True
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2024-12-24,12.693766,14.21524,1.521474,6754.21,4,3,0,0.25,Greed,73,Greed,Greed,True
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2024-12-29,-0.15618992000000004,0.0,0.15618992000000004,43278.42,4,0,0,1.0,Greed,73,Greed,Greed,False
